"","x"
"1","Virginie Malingre"
"2","Nicole Vulser"
"3","Simon Piel"
"4","Sylvia Zappi"
"5","Alexandre Piquard"
"6","Yann Bouchez"
"7","Lucie Soullier"
"8","Patrick Roger"
"9","Manon Rescan"
"10","Arnaud Leparmentier"
"11","Bertrand Bissuel"
"12","Olivier Faye"
"13","Alexandre Lemarié"
"14","Alexandre Lemarié"
"15","Raphaëlle Bacqué"
"16","Lucie Soullier"
"17","Simon Piel"
"18","Sylvia Zappi"
"19","Sylvia Zappi"
"20","Lucie Soullier"
"21","Raphaëlle Besse Desmoulières"
"22","Bertrand Bissuel"
"23","Abel Mestre"
"24","Patrick Roger"
"25","Olivier Faye"
"26","Elise Vincent"
"27","Cédric Pietralunga"
"28","Nicolas Chapuis"
"29","Louise Couvelaire"
"30","Michel Guerrin"
"31","Anne Rodier"
"32","Benoît Floc'h"
"33","Sylvia Zappi"
"34","Abel Mestre"
"35","Bertrand Bissuel"
"36","Patrick Roger"
"37","Brice Pedroletti"
"38","Patrick Roger"
"39","Stéphane Mandard"
"40","Philippe Jacqué"
"41","Louise Couvelaire"
"42","Bertrand Bissuel"
"43","Alexandre Lemarié"
"44","Raphaëlle Besse Desmoulières"
"45","Michel Noblecourt"
"46","Adrien Sénécat"
"47","Manon Rescan"
"48","Audrey Tonnelier"
"49","Bertrand Bissuel"
"50","Samuel Laurent"
"51","Gary Dagorn"
"52","Alexandre Lemarié"
"53","Alexandre Lemarié"
"54","Raphaëlle Besse Desmoulières"
"55","Manon Rescan"
"56","Philippe Escande"
"57","Philippe Jacqué"
"58","Virginie Malingre"
"59","Cédric Pietralunga"
"60","François Béguin"
"61","Damien Leloup"
"62","Alexandre Piquard"
"63","Camille Stromboni"
"64","Hélène Sallon"
"65","Damien Leloup"
"66","Martin Untersinger"
"67","Nicolas Chapuis"
"68","Elise Vincent"
"69","Raphaëlle Besse Desmoulières"
"70","Michel Noblecourt"
"71","Nicolas Chapuis"
"72","Alexandre Lemarié"
"73","Audrey Tonnelier"
"74","Olivier Faye"
"75","Yann Bouchez"
"76","Abel Mestre"
"77","Rémi Barroux"
"78","Mathilde Damgé"
"79","Violaine Morin"
"80","Sandrine Cassini"
"81","Anne Rodier"
"82","Raphaëlle Besse Desmoulières"
"83","Michel Noblecourt"
"84","Françoise Fressoz"
"85","Virginie Malingre"
"86","Cédric Pietralunga"
"87","Anne Michel"
"88","Jean-Baptiste Chastand"
"89","Laurence Girard"
"90","Patrick Roger"
"91","Alexandre Lemarié"
"92","Enora Ollivier"
"93","Cédric Pietralunga"
"94","Isabelle Rey-Lefebvre"
"95","Manon Rescan"
"96","Nicolas Chapuis"
"97","Sandrine Blanchard"
"98","Nicole Vulser"
"99","Alexandre Piquard"
"100","Olivier Faye"
"101","Nicolas Chapuis"
"102","Alexandre Lemarié"
"103","Benoît Floc'h"
"104","Gérard Courtois"
"105","Raphaëlle Besse Desmoulières"
"106","Michel Noblecourt"
"107","Marc-Olivier Bherer"
"108","Michel Noblecourt"
"109","Raphaëlle Besse Desmoulières"
"110","Audrey Tonnelier"
"111","Béatrice Jérôme"
"112","Sarah Belouezzane"
"113","Bertrand Bissuel"
"114","Virginie Malingre"
"115","Virginie Malingre"
"116","Jean-Michel Bezat"
"117","Thomas Wieder"
"118","Virginie Malingre"
"119","Patrick Roger"
"120","Abel Mestre"
"121","Virginie Malingre"
"122","Solenn de Royer"
"123","Raphaëlle Bacqué"
"124","Michel Noblecourt"
"125","Manon Rescan"
"126","Patrick Roger"
"127","Manon Rescan"
"128","Raphaëlle Besse Desmoulières"
"129","Philippe Ridet"
"130","Lucie Soullier"
"131","Simon Piel"
"132","Isabelle Rey-Lefebvre"
"133","Béatrice Jérôme"
"134","Enora Ollivier"
"135","Olivier Faye"
"136","Audrey Tonnelier"
"137","Samuel Laurent"
"138","Abel Mestre"
"139","Abel Mestre"
"140","Abel Mestre"
"141","Enora Ollivier"
"142","Patrick Roger"
"143","Enora Ollivier"
"144","Marc Semo"
"145","Olivier Faye"
"146","Cédric Pietralunga"
"147","Virginie Malingre"
"148","Abel Mestre"
"149","Raphaëlle Besse Desmoulières"
"150","Bertrand Bissuel"
"151","Raphaëlle Besse Desmoulières"
"152","Bertrand Bissuel"
"153","Henri Seckel"
"154","Faustine Vincent"
"155","Samuel Laurent"
"156","Jean-Baptiste Jacquin"
"157","Manon Rescan"
"158","Alexandre Lemarié"
"159","Virginie Malingre"
"160","Cédric Pietralunga"
"161","Nicolas Chapuis"
"162","Enora Ollivier"
"163","Olivier Faye"
"164","Françoise Fressoz"
"165","Cédric Pietralunga"
"166","Emeline Cazi"
"167","Raphaëlle Besse Desmoulières"
"168","Aline Leclerc"
"169","Gérard Courtois"
"170","Béatrice Jérôme"
"171","Sarah Belouezzane"
"172","Benoît Floc'h"
"173","Manon Rescan"
"174","Patrick Roger"
"175","Raphaëlle Besse Desmoulières"
"176","Isabelle Rey-Lefebvre"
"177","Audrey Tonnelier"
"178","Abel Mestre"
"179","Lucie Soullier"
"180","Jérôme Gautheret"
"181","Jean-Michel Bezat"
"182","Adrien Sénécat"
"183","Enora Ollivier"
"184","Raphaëlle Besse Desmoulières"
"185","Bertrand Bissuel"
"186","Raphaëlle Besse Desmoulières"
"187","Bertrand Bissuel"
"188","Gérard Courtois"
"189","Gérard Courtois"
"190","Cédric Pietralunga"
"191","Adrien Naselli"
"192","Abel Mestre"
"193","Olivier Faye"
"194","Lucie Soullier"
"195","Olivier Faye"
"196","Lucie Soullier"
"197","Patrick Roger"
"198","Audrey Tonnelier"
"199","Pierre Jaxel-Truer"
"200","Virginie Malingre"
"201","Cédric Pietralunga"
"202","Patrick Roger"
"203","Denis Cosnard"
"204","Philippe Jacqué"
"205","Sarah Belouezzane"
"206","Bertrand Bissuel"
"207","Alexandre Lemarié"
"208","Stéphane Foucart"
"209","Françoise Fressoz"
"210","Claire Gatinois"
"211","Olivier Faye"
"212","Anne Chemin"
"213","Bertrand Bissuel"
"214","Raphaëlle Besse Desmoulières"
"215","Cédric Pietralunga"
"216","Olivier Faye"
"217","Béatrice Jérôme"
"218","Manon Rescan"
"219","Solenn de Royer"
"220","Cécile Ducourtieux"
"221","Enora Ollivier"
"222","Camille Stromboni"
"223","Virginie Malingre"
"224","Abel Mestre"
"225","Jérémie Baruch"
"226","Lucie Soullier"
"227","Manon Rescan"
"228","Manon Rescan"
"229","Alexandre Lemarié"
"230","Enora Ollivier"
"231","Sylvie Kauffmann"
"232","Marc Semo"
"233","Virginie Malingre"
"234","Alexandre Lemarié"
"235","Cédric Pietralunga"
"236","Nicolas Chapuis"
"237","Cédric Pietralunga"
"238","Alexandre Lemarié"
"239","Virginie Malingre"
"240","Raphaëlle Bacqué"
"241","Virginie Malingre"
"242","Solenn de Royer"
"243","Isabelle Rey-Lefebvre"
"244","Maxime Vaudano"
"245","Adrien Sénécat"
"246","Françoise Fressoz"
"247","Aline Leclerc"
"248","Jean-Michel Bezat"
"249","Anne-Aël Durand"
"250","Benoît Floc'h"
"251","Patrick Roger"
"252","Abel Mestre"
"253","Virginie Malingre"
"254","Lucie Soullier"
"255","Simon Piel"
"256","Mathilde Damgé"
"257","Cédric Pietralunga"
"258","Raphaëlle Besse Desmoulières"
"259","Bertrand Bissuel"
"260","Béatrice Jérôme"
"261","Manon Rescan"
"262","Olivier Faye"
"263","Marc-Olivier Bherer"
"264","Françoise Fressoz"
"265","Cédric Pietralunga"
"266","Annick Cojean"
"267","Cédric Pietralunga"
"268","Elise Barthet"
"269","Bertrand Bissuel"
"270","Simon Piel"
"271","Joan Tilouine"
"272","Patrick Roger"
"273","Stéphane Foucart"
"274","Virginie Malingre"
"275","Olivier Faye"
"276","Olivier Faye"
"277","Lucie Soullier"
"278","Rémi Barroux"
"279","Adrien Sénécat"
"280","Grégoire Allix"
"281","Philippe Ridet"
"282","Françoise Fressoz"
"283","Philippe Escande"
"284","Virginie Malingre"
"285","Béatrice Jérôme"
"286","Manon Rescan"
"287","Raphaëlle Besse Desmoulières"
"288","Bertrand Bissuel"
"289","Cédric Pietralunga"
"290","Gérard Courtois"
"291","Manon Rescan"
"292","Cédric Pietralunga"
"293","Sylvia Zappi"
"294","Charlotte Bozonnet"
"295","Patrick Roger"
"296","Benoît Floc'h"
"297","Olivier Faye"
"298","Lucie Soullier"
