"","x"
"1","Rémi Godeau"
"2","Ludovic Vigogne"
"3","Jérémy Bouillard"
"4","Anne Bimar"
"5","Hakim El Karoui"
"6","l’Opinion"
"7","l'Opinion vidéos"
"8","l'Opinion vidéos"
"9","l’Opinion"
"10","Ludovic Vigogne"
"11","Ludovic Vigogne"
"12","Ludovic Vigogne"
"13","Raphaël Proust"
"14","L’Opinion"
"15","Ivanne Trippenbach"
"16","Nathalie Segaunes"
"17","Raphaël Proust"
"18","l'Opinion vidéos"
"19","Caroline Vigoureux"
"20","Ivanne Trippenbach"
"21","Raphaël Proust"
"22","Nathalie Segaunes"
"23","l’Opinion"
"24","Nicolas Beytout"
"25","l'Opinion vidéos"
"26","Caroline Vigoureux"
"27","Raphaël Proust"
"28","Ivanne Trippenbach"
"29","Nathalie Segaunes"
"30","Ludovic Vigogne"
"31","l'Opinion vidéos"
"32","Raphaël Proust"
"33","Caroline Vigoureux"
"34","Olivier Babeau"
"35","Ludovic Vigogne"
"36","l'Opinion vidéos"
"37","l'Opinion vidéos"
"38","Cyril Lacarrière"
"39","Caroline Vigoureux"
"40","Nicolas Beytout"
"41","l'Opinion vidéos"
"42","Caroline Vigoureux"
"43","Caroline Vigoureux"
"44","l'Opinion vidéos"
"45","l'Opinion vidéos"
"46","Francesco Maselli"
"47","Nicolas Beytout"
"48","Fanny Guinochet"
"49","Irène Inchauspé"
"50","Irène Inchauspé"
"51","Olivier Auguste"
"52","Hakim El Karoui"
"53","Maxime Sbaihi"
"54","Mireille Weinberg"
"55","l'Opinion vidéos"
"56","Caroline Vigoureux"
"57","Caroline Vigoureux"
"58","Olivier Auguste"
"59","Nathalie Segaunes"
"60","Ludovic Vigogne"
"61","l’Opinion"
"62","Irène Inchauspé"
"63","Cyril Lacarrière"
"64","Ivanne Trippenbach"
"65","l'Opinion vidéos"
"66","l'Opinion vidéos"
"67","l'Opinion vidéos"
"68","l'Opinion vidéos"
"69","l’Opinion"
"70","Caroline Vigoureux"
"71","Nicolas Beytout"
"72","Raphaël Proust"
"73","Ivanne Trippenbach"
"74","l'Opinion vidéos"
"75","Gilles Savary"
"76","Jean Mallot"
"77","Irène Inchauspé"
"78","l'Opinion vidéos"
"79","l'Opinion vidéos"
"80","l'Opinion vidéos"
"81","Caroline Vigoureux"
"82","Ivanne Trippenbach"
"83","Nathalie Segaunes"
"84","Nicolas Beytout"
"85","l'Opinion vidéos"
"86","Ludovic Vigogne"
"87","Nathalie Segaunes"
"88","Caroline Vigoureux"
"89","Nathalie Segaunes"
"90","Patrick Devedjian"
"91","Ivanne Trippenbach"
"92","l'Opinion vidéos"
"93","l'Opinion vidéos"
"94","l'Opinion vidéos"
"95","l’Opinion"
"96","Nathalie Segaunes"
"97","Raphaël Proust"
"98","Ivanne Trippenbach"
"99","Nathalie Segaunes"
"100","Irène Inchauspé"
"101","Nicolas Beytout"
"102","Caroline Vigoureux"
"103","l'Opinion vidéos"
"104","l’Opinion"
"105","François-Gilles Egretier"
"106","l'Opinion vidéos"
"107","l'Opinion vidéos"
"108","l’Opinion"
"109","Irène Inchauspé"
"110","Nathalie Segaunes"
"111","Ludovic Vigogne"
"112","Nicolas Beytout"
"113","Caroline Vigoureux"
"114","l'Opinion vidéos"
"115","Hakim El Karoui"
"116","Nicolas Forissier"
"117","l’Opinion"
"118","l'Opinion vidéos"
"119","l'Opinion vidéos"
"120","l'Opinion vidéos"
"121","Fanny Guinochet"
"122","Raphaël Proust"
"123","Raphaël Proust"
"124","l’Opinion"
"125","Nathalie Segaunes"
"126","l’Opinion"
"127","Agnès Evren et Pierre Liscia"
"128","Caroline Vigoureux"
"129","Ivanne Trippenbach"
"130","l’Opinion"
"131","Caroline Vigoureux"
"132","Ivanne Trippenbach"
"133","l’Opinion"
"134","Ludovic Vigogne"
"135","Nathalie Segaunes"
"136","Caroline Vigoureux"
"137","Cyril Lacarrière"
"138","Caroline Vigoureux"
"139","Olivier Auguste"
"140","Ivanne Trippenbach"
"141","Olivier Babeau"
"142","l'Opinion vidéos"
"143","l’Opinion"
"144","Irène Inchauspé"
"145","Ivanne Trippenbach"
"146","Jérémy Bouillard"
"147","Nathalie Segaunes"
"148","l’Opinion"
"149","Raphaël Proust"
"150","Ludovic Vigogne"
