"","x"
"1","Olivier Morin"
"2","Julia Hamlaoui et Maud Vergnol"
"3","Olivier Morin"
"4","Jean-Emmanuel Ducoin"
"5","Maurice Ulrich"
"6","Audrey Loussouarn"
"7","Cédric Clérin"
"8","Benjamin Konig"
"9","Olivier Morin"
"10","Olivier Morin"
"11","Julia Hamlaoui"
"12","Grégory Marin"
"13","Pierre Duquesne"
"14","Aurélien Soucheyre"
"15","Pierre Serna"
"16","Maurice Ulrich"
"17","Carnet"
"18","Audrey Loussouarn"
"19","Olivier Morin"
"20","Maud Vergnol"
"21","Carnet"
"22","Maurice Ulrich"
"23","Patrick Le Hyaric"
"24","Aurélien Soucheyre"
"25","Maurice Ulrich"
"26","Carnet"
"27","Grégory Marin"
"28","Maurice Ulrich"
"29","Audrey Loussouarn"
"30","Gaël De Santis"
"31","Michel Guilloux"
"32","Julia Hamlaoui et Maud Vergnol"
"33","Aurélien Soucheyre"
"34","Sylvie Ducatteau"
"35","Cédric Clérin"
"36","Maurice Ulrich"
"37","Audrey Loussouarn"
"38","Lionel Venturini"
"39","Jean-Paul Piérot"
"40","Aurélien Soucheyre"
"41","Julia Hamlaoui"
"42","Audrey Loussouarn"
"43","Aurélien Soucheyre"
"44","Pierre Duquesne"
"45","Lionel Venturini"
"46","Maud Vergnol"
"47","Julia Hamlaoui"
"48","Maurice Ulrich"
"49","Patrick Le Hyaric"
"50","Pierre Duquesne"
"51","Grégory Marin"
"52","Grégory Marin"
"53","Lionel Venturini"
"54","Maurice Ulrich"
"55","Lionel Venturini"
"56","Tania Meller"
"57","Pierre Duquesne"
"58","Julia Hamlaoui"
"59","Audrey Loussouarn et Grégory Marin"
"60","Jean-Emmanuel Ducoin"
"61","Maurice Ulrich"
"62","Audrey Loussouarn"
"63","Pierre Duquesne"
"64","Julia Hamlaoui"
"65","Audrey Loussouarn"
"66","Olivier Morin"
"67","Maurice Ulrich"
"68","Gérard Le Puill"
"69","Patrick Le Hyaric"
"70","Diego Chauvet"
"71","Cédric Clérin"
"72","Olivier Morin"
"73","Maurice Ulrich"
"74","Pierre Duquesne"
"75","Audrey Loussouarn"
"76","Aurélien Soucheyre"
"77","Maurice Ulrich"
"78","Pierre Serna"
"79","Gérard Le Puill"
"80","Maud Vergnol"
"81","Audrey Loussouarn"
"82","Audrey Loussouarn"
"83","Patrick Apel-Muller"
"84","Julia Hamlaoui"
"85","Audrey Loussouarn"
"86","Julia Hamlaoui et Maud Vergnol"
"87","Maurice Ulrich"
"88","Grégory Marin"
"89","Pierre Duquesne"
"90","Olivier Mayer"
"91","Lionel Venturini"
"92","Maud Vergnol"
"93","Julia Hamlaoui"
"94","Audrey Loussouarn et Aurélien Soucheyre"
"95","Paule Masson"
"96","Maurice Ulrich"
"97","Grégory Marin"
"98","Audrey Loussouarn"
"99","Olivier Morin"
"100","Aurélien Soucheyre"
"101","Maurice Ulrich"
"102","Loan Nguyen"
"103","Loan Nguyen"
"104","Maurice Ulrich"
"105","Tania Meller"
"106","Lionel Venturini"
"107","Grégory Marin"
"108","Olivier Morin"
"109","Maurice Ulrich"
"110","Aurélien Soucheyre"
"111","Pierre Duquesne"
"112","Olivier Morin"
"113","Aurélien Soucheyre"
"114","Julia Hamlaoui"
"115","Lionel Venturini"
"116","Tania Meller"
"117","Maurice Ulrich"
"118","Maurice Ulrich"
"119","Audrey Loussouarn"
"120","Pierre Serna"
"121","Julia Hamlaoui"
"122","Aurélien Soucheyre"
"123","Alain Raynal"
"124","Audrey Loussouarn"
"125","Olivier Morin"
"126","Lionel Venturini"
"127","Aurélien Soucheyre"
"128","Patrick Apel-Muller"
"129","Maurice Ulrich"
"130","Audrey Loussouarn"
"131","Patrick Le Hyaric"
"132","Loan Nguyen et Julia Hamlaoui"
"133","Carnet"
"134","Aurélien Soucheyre"
"135","Lionel Venturini"
"136","Grégory Marin"
"137","Maurice Ulrich"
"138","Maurice Ulrich"
"139","Maurice Ulrich"
"140","Gérard Le Puill"
"141","Maurice Ulrich"
"142","Audrey Loussouarn"
"143","Scarlett Bain"
"144","Pierre Duquesne"
"145","Julia Hamlaoui"
"146","Jean-Emmanuel Ducoin"
"147","Carnet"
"148","Lionel Venturini"
"149","Maurice Ulrich"
"150","Caroline Constant"
"151","Julia Hamlaoui, Olivier Chartrain et Pierre Duquesne"
"152","Patrick Apel-Muller"
"153","Laurent Mouloud"
"154","Grégory Marin"
"155","Grégory Marin"
"156","Maud Vergnol"
"157","Grégory Marin"
"158","Gérard Le Puill"
"159","Rosa Moussaoui"
"160","Maud Vergnol"
"161","Maud Vergnol"
"162","Julia Hamlaoui"
"163","Patrick Le Hyaric"
"164","Julia Hamlaoui"
"165","Pierre Serna"
"166","Patrick Apel-Muller"
"167","Grégory Marin"
"168","Maud Vergnol"
"169","Maud Vergnol"
"170","Maud Vergnol"
"171","Rosa Moussaoui"
"172","Maurice Ulrich"
"173","Audrey Loussouarn"
"174","Maurice Ulrich"
"175","Aurélien Soucheyre"
"176","Lionel Venturini"
"177","Lionel Venturini"
"178","Pierre Chaillan"
"179","Pierre Duquesne"
"180","Grégory Marin"
"181","Audrey Loussouarn"
"182","Maurice Ulrich"
"183","Grégory Marin"
"184","Michel Guilloux"
"185","Maud Vergnol"
"186","Aurélien Soucheyre"
"187","Carnet"
"188","Maurice Ulrich"
"189","Grégory Marin"
"190","Lionel Venturini"
"191","Christophe Deroubaix"
"192","Julia Hamlaoui"
"193","Maurice Ulrich"
"194","Gérard Le Puill"
"195","Grégory Marin"
"196","Maurice Ulrich"
"197","Aurélien Soucheyre"
"198","Julia Hamlaoui"
"199","Grégory Marin"
"200","Maurice Ulrich"
"201","Olivier Morin"
"202","Pierre Serna"
"203","Gérard Le Puill"
"204","Audrey Loussouarn"
"205","Pierre Duquesne"
"206","Olivier Morin"
"207","Aurélien Soucheyre"
"208","Jean-Emmanuel Ducoin"
"209","Maurice Ulrich"
"210","Pierre Barbancey"
"211","Christophe Deroubaix"
"212","Frédéric Sugnot"
"213","Lionel Venturini"
"214","Audrey Loussouarn et Aurélien Soucheyre"
"215","Patrick Apel-Muller"
"216","Patrick Le Hyaric"
"217","Maurice Ulrich"
"218","Michel Guilloux"
"219","Maurice Ulrich"
"220","Carnet"
"221","Kareen Janselme"
"222","Lionel Venturini"
"223","Gérard Le Puill"
"224","Aurélien Soucheyre"
"225","Olivier Morin"
"226","Olivier Morin"
"227","Olivier Morin"
"228","Ludovic Finez"
"229","Paule Masson"
"230","Gérard Le Puill"
"231","Patrick Le Hyaric"
"232","Patrick Apel-Muller"
"233","Lionel Venturini"
"234","Audrey Loussouarn"
"235","Gérard Le Puill"
"236","Pierre Duquesne"
"237","Pierre Chaillan"
"238","Audrey Loussouarn"
"239","Patrick Apel-Muller"
"240","Aurélien Soucheyre et Lionel Venturini"
"241","Paule Masson"
"242","Julia Hamlaoui"
"243","P. Du."
"244","Pierre Dusquesne"
"245","Audrey Loussouarn"
"246","Maud Vergnol"
"247","Lionel Venturini"
"248","Carnet"
"249","Pierre Duquesne"
"250","Pierre Duquesne"
"251","Pierre Duquesne"
"252","Julia Hamlaoui"
"253","Julia Hamlaoui"
"254","Lionel Venturini"
"255","Michel Guilloux"
"256","Julia Hamlaoui"
"257","Aurélien Soucheyre"
"258","Michel Guilloux"
"259","Aurélien Soucheyre"
"260","Maud Vergnol"
"261","Maud Vergnol"
"262","Pierre Duquesne"
"263","Laurène Bureau et Olivier Morin"
"264","Carnet"
"265","Carnet"
"266","Pierre Chaillan"
"267","Audrey Loussouarn"
"268","Aurélien Soucheyre"
"269","Olivier Morin"
"270","Pierre Chaillan"
"271","Michel Guilloux"
"272","Aurélien Soucheyre"
"273","Jean-Paul Piérot"
"274","Carnet"
"275","Pierre Duquesne"
"276","Lauren bureau"
"277","service politique"
"278","Serge Wolikow"
"279","Grégory Marin"
"280","Carnet"
"281","Ixchel Delaporte"
"282","Pierre Chaillan"
"283","Carnet"
"284","Julia Hamlaoui"
"285","Olivier Morin"
"286","Audrey Loussouarn"
"287","Olivier Morin"
"288","Audrey Loussouarn"
"289","Carnet"
"290","Laurène Bureau"
"291","Laurène Bureau"
"292","Aurélien Soucheyre"
"293","Olivier Morin"
"294","Audrey Loussouarn"
"295","Carnet"
"296","Aurélien Soucheyre"
"297","Carnet"
"298","Audrey Loussouarn"
"299","Audrey Loussouarn"
"300","Audrey Loussouarn"
"301","Carnet"
"302","Aurélien Soucheyre"
"303","Aurélien Soucheyre"
"304","Aurélien Soucheyre avec Laurène Bureau et Olivier Morin"
"305","Audrey Loussouarn"
"306","Michel Guilloux"
"307","Olivier Morin"
"308","Audrey Loussouarn"
"309","Olivier Morin"
"310","Aurélien Soucheyre"
"311","Laurent Mouloud"
"312","Olivier Morin"
"313","Sébastien Crépel"
"314","Aurélien Soucheyre"
"315","Olivier Morin"
"316","Sébastien Crépel"
"317","Audrey Loussouarn"
"318","Mathilde Picard"
"319","Aurélien Soucheyre"
"320","Laurent Mouloud"
"321","Martin Gausseran"
"322","Sébastien Crépel"
"323","Olivier Morin"
"324","Aurélien Soucheyre"
"325","Audrey Loussouarn"
"326","Martin Gausseran"
"327","Aurélien Soucheyre"
"328","Audrey Loussouarn"
"329","Audrey Loussouarn"
"330","Paule Masson"
"331","Sébastien Crépel"
"332","Audrey Loussouarn"
"333","Aurélien Soucheyre"
"334","Mathilde Picard"
"335","Grégory Marin"
"336","Lina Sankari"
"337","Aurélien Soucheyre"
"338","Paule Masson"
"339","Marc Bussone"
"340","Pierre Henri-Lab"
"341","Mathilde Picard"
"342","Julia Hamlaoui"
"343","Grégory Marin, avec Olivier Morin et Lola Ruscio"
"344","Martin Gausseran"
"345","Martin Gausseran"
"346","Aurélien Soucheyre"
"347","Olivier Morin"
"348","Mathilde Picard"
"349","Mathilde Picard"
"350","Sébastien Crépel"
"351","Olivier Morin"
"352","Paule Masson"
"353","Maud Vergnol"
"354","Mathilde Picard"
"355","Olivier Morin"
"356","Julia Hamlaoui"
"357","Julia Hamlaoui"
"358","Grégory Marin"
"359","Aurélien Soucheyre"
"360","Grégory Marin"
"361","Aurélien Soucheyre"
"362","Pierre Duquesne"
"363","Lionel Venturini"
"364","Grégory Marin"
"365","Julia Hamlaoui"
"366","Gérard Le Puill"
"367","Julia Hamlaoui"
"368","Pierre Duquesne"
"369","Maurice Ulrich"
"370","Maurice Ulrich"
"371","Aurélien Soucheyre"
"372","Grégory Marin"
"373","Maud Vergnol"
"374","Aurélien Soucheyre avec Martin Gausseran"
"375","Maurice Ulrich"
"376","Audrey Loussouarn"
"377","Maud Vergnol"
"378","Maurice Ulrich"
"379","Martin Gausseran"
"380","Patrick Apel-Muller"
"381","Lionel Venturini"
"382","Lionel Venturini"
"383","Aurélien Soucheyre"
"384","Julia Hamlaoui"
"385","Patrick Le Hyaric"
"386","Maurice Ulrich"
"387","Loan Nguyen"
"388","Maud Vergnol"
