"","x"
"1","Arnaud Leparmentier"
"2","Bertrand Bissuel"
"3","Olivier Faye"
"4","Alexandre Lemarié"
"5","Alexandre Lemarié"
"6","Raphaëlle Bacqué"
"7","Lucie Soullier"
"8","Simon Piel"
"9","Sylvia Zappi"
"10","Sylvia Zappi"
"11","Lucie Soullier"
"12","Raphaëlle Besse Desmoulières"
"13","Bertrand Bissuel"
"14","Abel Mestre"
"15","Patrick Roger"
"16","Olivier Faye"
"17","Elise Vincent"
"18","Cédric Pietralunga"
"19","Nicolas Chapuis"
"20","Louise Couvelaire"
"21","Michel Guerrin"
"22","Anne Rodier"
"23","Benoît Floc'h"
"24","Sylvia Zappi"
"25","Abel Mestre"
"26","Bertrand Bissuel"
"27","Patrick Roger"
"28","Brice Pedroletti"
"29","Patrick Roger"
"30","Stéphane Mandard"
"31","Philippe Jacqué"
"32","Louise Couvelaire"
"33","Bertrand Bissuel"
"34","Alexandre Lemarié"
"35","Raphaëlle Besse Desmoulières"
"36","Michel Noblecourt"
"37","Adrien Sénécat"
"38","Manon Rescan"
"39","Audrey Tonnelier"
"40","Bertrand Bissuel"
"41","Samuel Laurent"
"42","Gary Dagorn"
"43","Alexandre Lemarié"
"44","Alexandre Lemarié"
"45","Raphaëlle Besse Desmoulières"
"46","Manon Rescan"
"47","Philippe Escande"
"48","Philippe Jacqué"
"49","Virginie Malingre"
"50","Cédric Pietralunga"
"51","François Béguin"
"52","Damien Leloup"
"53","Alexandre Piquard"
"54","Camille Stromboni"
"55","Hélène Sallon"
"56","Damien Leloup"
"57","Martin Untersinger"
"58","Nicolas Chapuis"
"59","Elise Vincent"
"60","Raphaëlle Besse Desmoulières"
"61","Michel Noblecourt"
"62","Nicolas Chapuis"
"63","Alexandre Lemarié"
"64","Audrey Tonnelier"
"65","Olivier Faye"
"66","Yann Bouchez"
"67","Abel Mestre"
"68","Rémi Barroux"
"69","Mathilde Damgé"
"70","Violaine Morin"
"71","Sandrine Cassini"
"72","Anne Rodier"
"73","Raphaëlle Besse Desmoulières"
"74","Michel Noblecourt"
"75","Françoise Fressoz"
"76","Virginie Malingre"
"77","Cédric Pietralunga"
"78","Anne Michel"
"79","Jean-Baptiste Chastand"
"80","Laurence Girard"
"81","Patrick Roger"
"82","Alexandre Lemarié"
"83","Enora Ollivier"
"84","Cédric Pietralunga"
"85","Isabelle Rey-Lefebvre"
"86","Manon Rescan"
"87","Nicolas Chapuis"
"88","Sandrine Blanchard"
"89","Nicole Vulser"
"90","Alexandre Piquard"
"91","Olivier Faye"
"92","Nicolas Chapuis"
"93","Alexandre Lemarié"
"94","Benoît Floc'h"
"95","Gérard Courtois"
"96","Raphaëlle Besse Desmoulières"
"97","Michel Noblecourt"
"98","Marc-Olivier Bherer"
"99","Michel Noblecourt"
"100","Raphaëlle Besse Desmoulières"
"101","Audrey Tonnelier"
"102","Béatrice Jérôme"
"103","Sarah Belouezzane"
"104","Bertrand Bissuel"
"105","Virginie Malingre"
"106","Virginie Malingre"
"107","Jean-Michel Bezat"
"108","Thomas Wieder"
"109","Virginie Malingre"
"110","Patrick Roger"
"111","Abel Mestre"
"112","Virginie Malingre"
"113","Solenn de Royer"
"114","Raphaëlle Bacqué"
"115","Michel Noblecourt"
"116","Manon Rescan"
"117","Patrick Roger"
"118","Manon Rescan"
"119","Raphaëlle Besse Desmoulières"
"120","Philippe Ridet"
"121","Lucie Soullier"
"122","Simon Piel"
"123","Isabelle Rey-Lefebvre"
"124","Béatrice Jérôme"
"125","Enora Ollivier"
"126","Olivier Faye"
"127","Audrey Tonnelier"
"128","Samuel Laurent"
"129","Abel Mestre"
"130","Abel Mestre"
"131","Abel Mestre"
"132","Enora Ollivier"
"133","Patrick Roger"
"134","Enora Ollivier"
"135","Marc Semo"
"136","Olivier Faye"
"137","Cédric Pietralunga"
"138","Virginie Malingre"
"139","Abel Mestre"
"140","Raphaëlle Besse Desmoulières"
"141","Bertrand Bissuel"
"142","Raphaëlle Besse Desmoulières"
"143","Bertrand Bissuel"
"144","Henri Seckel"
"145","Faustine Vincent"
"146","Samuel Laurent"
"147","Jean-Baptiste Jacquin"
"148","Manon Rescan"
"149","Alexandre Lemarié"
"150","Virginie Malingre"
"151","Cédric Pietralunga"
"152","Nicolas Chapuis"
